Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
257,Centre Cívic Cotxeres Borrell,Centres cívics,NO,,,1,02,Eixample,10,Sant Antoni,Ajuntament de Barcelona,Trànsit Projectes,,41.375908694,2.163176076
263,Centre Cívic Cotxeres de Sants,Centres cívics,NO,,,1,03,Sants-Montjuïc,18,Sants,Ajuntament de Barcelona,"Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta",,41.375264199,2.136876024
253,Centre Cívic Drassanes,Centres cívics,NO,,,1,01,Ciutat Vella,01,el Raval,Ajuntament de Barcelona,PROGESS,,41.377644996,2.172852395
283,Centre Cívic El Carmel,Centres cívics,NO,,,1,07,Horta-Guinardó,37,el Carmel,Ajuntament de Barcelona,QSL Serveis Culturals,,41.420263994,2.151191237
280,Centre Cívic El Coll - La Bruguera,Centres cívics,NO,,,1,06,Gràcia,29,el Coll,Ajuntament de Barcelona,Calaix de Cultura,,41.418579055,2.149896871
264,Centre Cívic El Sortidor,Centres cívics,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Ajuntament de Barcelona,Calaix de Cultura,,41.372066797,2.162531728
265,Centre Cívic Font de la Guatlla,Centres cívics,NO,,,1,03,Sants-Montjuïc,14,la Font de la Guatlla,Ajuntament de Barcelona,Assoc. de Veïns Font de la Guatlla-Magòria,,41.370560397,2.147508546
284,Centre Cívic Guinardó,Centres cívics,NO,,,1,07,Horta-Guinardó,35,el Guinardó,Ajuntament de Barcelona,PROGESS,,41.416056397,2.173322891
269,Centre Cívic Joan Oliver - Pere Quart,Centres cívics,NO,,,1,04,Les Corts,20,la Maternitat i Sant Ramon,Ajuntament de Barcelona,Club Lleuresport,,41.379302926,2.127757703
271,Centre Cívic Josep M. Trias i Peitx,Centres cívics,NO,,,1,04,Les Corts,20,la Maternitat i Sant Ramon,Ajuntament de Barcelona,Club Lleuresport,,41.377780128,2.121762772
266,Centre Cívic La Cadena,Centres cívics,NO,,,1,03,Sants-Montjuïc,13,la Marina de Port,Ajuntament de Barcelona,Unió d'Entitats de la Marina,,41.364156288,2.139067245
293,Centre Cívic La Sagrera - La Barraca,Centres cívics,NO,,,1,09,Sant Andreu,61,la Sagrera,Ajuntament de Barcelona,Club Lleuresport,,41.423942321,2.189139414
281,Centre Cívic La Sedeta,Centres cívics,NO,,,1,06,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Ajuntament de Barcelona,Relleu Cultural,,41.40554894,2.167665468
286,Centre Cívic Matas i Ramis,Centres cívics,NO,,,1,07,Horta-Guinardó,43,Horta,Ajuntament de Barcelona,Ajuntament de Barcelona,,41.432755073,2.160711473
294,Centre Cívic Navas,Centres cívics,NO,,,1,09,Sant Andreu,63,Navas,Ajuntament de Barcelona,Club Lleuresport,,41.416904706,2.184919133
299,Centre Cívic Parc Sandaru,Centres cívics,NO,,,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Ajuntament de Barcelona,"Tasca, projectes animació sociocultural ",,41.391718569,2.184755119
254,Centre Cívic Pati Llimona,Centres cívics,NO,,,1,01,Ciutat Vella,02,el Barri Gòtic,Ajuntament de Barcelona,Trànsit Projectes,,41.381635545,2.179176281
276,Centre Cívic Pere Pruna,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Ajuntament de Barcelona,Calaix de Cultura,,41.403181601,2.131302875
259,Centre Cívic Sagrada Família,Centres cívics,NO,,,1,02,Eixample,06,la Sagrada Família,Ajuntament de Barcelona,Trànsit Projectes,,41.405380126,2.176760148
295,Centre Cívic Sant Andreu,Centres cívics,NO,,,1,09,Sant Andreu,60,Sant Andreu,Ajuntament de Barcelona,Ajuntament de Barcelona,,41.430852888,2.189400581
300,Centre Cívic Sant Martí,Centres cívics,NO,,,1,10,Sant Martí,72,Sant Martí de Provençals,Ajuntament de Barcelona,Trànsit Projectes,,41.416622171,2.198563813
277,Centre Cívic Sarrià,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,23,Sarrià,Ajuntament de Barcelona,QSL Serveis Culturals,,41.393871979,2.121163587
285,Centre Cívic Teixonera,Centres cívics,NO,,,1,07,Horta-Guinardó,38,la Teixonera,Ajuntament de Barcelona,QSL Serveis Culturals,,41.422637884,2.144554558
270,Centre Cívic Tomasa Cuevas - Les Corts,Centres cívics,NO,,,1,04,Les Corts,19,les Corts,Ajuntament de Barcelona,PROGESS,,41.384783744,2.128318397
289,Centre Cívic Torre Llobeta,Centres cívics,NO,,,1,08,Nou Barris,44,Vilapicina i la Torre Llobeta,Ajuntament de Barcelona,Esport3 Serveis Alternatius,,41.426896898,2.173951442
296,Centre Cívic Trinitat Vella,Centres cívics,NO,,,1,09,Sant Andreu,57,la Trinitat Vella,Ajuntament de Barcelona,Calaix de Cultura,,41.451618627,2.1911896
260,Centre Cívic Urgell,Centres cívics,NO,,,1,02,Eixample,09,la Nova Esquerra de l'Eixample,Ajuntament de Barcelona,Calaix de Cultura,,41.386861397,2.152032146
278,Centre Cívic Vallvidrera - Vázquez Montalbán,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Ajuntament de Barcelona,Calaix de Cultura,,41.415364217,2.102530794
279,Centre Cívic Vil·la Florida,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Ajuntament de Barcelona,QSL Serveis Culturals,,41.40533741,2.135294028
447,Centre Cívic Vil·la Urània,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Ajuntament de Barcelona,Trànsit Projectes,,41.3986429,2.14276
290,Centre Cívic Zona Nord,Centres cívics,NO,,,1,08,Nou Barris,55,Ciutat Meridiana,Ajuntament de Barcelona,Trànsit Projectes,,41.461113806,2.177397304
298,Centre Cívic del Besòs i el Maresme,Centres cívics,NO,,,1,10,Sant Martí,70,el Besòs i el Maresme,Ajuntament de Barcelona,"Tasca, projectes animació sociocultural ",,41.416306001,2.211478868
275,Centre Cívic l'Elèctric,Centres cívics,NO,,,1,05,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Ajuntament de Barcelona,Calaix de Cultura,,41.41913796,2.097871834
416,Centre Moral i Cultural del Poblenou,Ateneus,NO,,,1,10,Sant Martí,68,el Poblenou,Titularitat privada,Centre Moral i Cultural del Poblenou,,41.401115,2.200169800000026
