Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Música,Altres administracions públiques,Festivals,11,Les nits del Palau Güell,27/06/2024,25/07/2024,189,,Palau Güell,Palau Güell,
2024,Audiovisuals,Titularitat privada,Festivals,26,Mecal. Festival Internacional de Curtmetratges de Barcelona,27/06/2024,07/07/2024,8854,,Museu Can Framis i Mecal Factory ,Assoc.  Mecal,
2024,Música,Titularitat privada,Festivals,4,Sala Barcelona,28/06/2024,02/08/2024,2728,,Castell de Montjuïc,ASACC ,
2024,Audiovisuals,Titularitat privada,Festivals,22,Sala Montjuïc,28/06/2024,02/08/2024,36800,,Castell de Montjuïc,Assoc. Cultural Modiband,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,8,Festival Tangent,01/07/2024,19/07/2024,3816,,Barri de l'Eixample,Districte de l'Eixample. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,2,Les Nits de Barcelona,01/07/2024,25/07/2024,44160,,Palau de Pedralbes,Clipper's Live,
2024,Música,Altres administracions públiques,Festivals,6,Clotilde fest,03/07/2024,24/07/2024,2287,,Palau Robert,Palau Robert ,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,14,Endorfines,04/07/2024,18/07/2024,,,Centre Cultural la Farinera,Centre Cultural La Farinera del Clot. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,20,Barcelona Festival of Song,05/07/2024,14/07/2024,1600,,Diversos espais de la ciutat,Patricia Caicedo Serrano,
2024,Audiovisuals,Titularitat privada,Festivals,4,Cinema a la fresca,05/07/2024,12/07/2024,47,,Horts Urbans de Can Soler - Sant Genís dels Agudells,Observatori de Vídeo No Identificat,
2024,Música,Titularitat privada,Festivals,22,Festival de Blues de Barcelona,06/07/2024,06/07/2024,,,,Assoc. Capibola Blues,
2024,Audiovisuals,Consorci o fundació amb presència administracions públiques,Festivals,,Pantalla Pavelló,07/07/2024,01/09/2024,,,,Fund. Mies van der Rohe,
2024,Música,Ajuntament de Barcelona,Festivals,7,Zero3. Altaveu d'Accions Culturals,07/07/2024,17/07/2024,405,,CC Pati Llimona,Centre Cívic Convent de Sant Agustí. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,59,Festival Internacional de Cant Coral a Barcelona,08/07/2024,13/07/2024,4600,1000,"Palau de la Música, Església de Santa Maria del Pi, Martí Codolar i Sagrada Família",FCEC - Fed. Catalana dEntitats Corals,
2024,Música,Altres administracions públiques,Festivals,19,Vespres dEstiu,09/07/2024,18/07/2024,1600,,Edifici Històric de la Universitat de Barcelona,Universitat de Barcelona,
2024,Música,Titularitat privada,Festivals,14,Festival Cruïlla,10/07/2024,13/07/2024,77000,,Parc del Fòrum,Barcelona Events Musicals,
2024,Música,Titularitat privada,Festivals,7,Ameba FM Raval,12/07/2024,13/07/2024,5000,,Plaça de Terenci Moix i Monestir de Sant Pau del Camp,Resident Advisor Limited,
2024,Audiovisuals,Titularitat privada,Festivals,26,Mecal Air,12/07/2024,13/09/2024,3014,,Museu Can Framis ,Assoc.  Mecal,
